asset,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_expectancy,folds
LTCUSDT,0.6673596673596673,0.20863534162011277,0.25635613385139,0.5330878288533639,0.010020790020790022,3
BTCUSDT,0.664408014571949,0.25043162117630197,0.2889823592011353,0.5451600400440718,0.009932240437158471,3
ADAUSDT,0.5515223812769825,0.3044959802102659,0.2784352880057146,0.5576128131199312,0.006545671438309475,3
LINKUSDT,0.49320947414167754,0.2733705612829324,0.3016691804927099,0.5543241191518339,0.004796284224250325,3
SOLUSDT,0.4780797101449275,0.21316780634073207,0.2810372131046739,0.5761480685775334,0.004342391304347826,3
AVAXUSDT,0.4266092233571908,0.2504177109440267,0.28066437072235056,0.5149284454082435,0.002798276700715725,3
BNBUSDT,0.37813620071684584,0.11541695329817321,0.14123664022031343,0.5332930469693743,0.0013440860215053758,3
DOGEUSDT,0.3636363636363636,0.08140231407043097,0.12945574682663885,0.5505218245776083,0.0009090909090909085,3
XRPUSDT,0.32264957264957267,0.07157521463232548,0.11654922871833935,0.5198989418928859,-0.0003205128205128205,3
ETHUSDT,0.14930555555555555,0.15925925925925927,0.15412186379928317,0.5753912043179845,-0.005520833333333333,3
